blockNumber;treasury;freeMints;totalMinted;totalForged;forgedMintedRatio;totalPlayers;totalAva;totalAvaLeg;totalAvaRar;totalAvaCom;playerAvatarAvg;totalSold;totalBought;totalTrades;playerTradesAvg;marketAvaAmo;marketAvaSum;marketAvgPri;marketAvaLegAmo;marketAvaLegSum;marketAvgLegPri;marketAvaRarAmo;marketAvaRarSum;marketAvgRarPri;marketAvaComAmo;marketAvaComSum;marketAvgComPri;marketAvaLegMinPri;marketAvaRarMinPri;marketAvaComMinPri
1590435;238219;212063;317051;82117;0.26;1084;16499;1069;1776;13654;15.22;8794;8794;8794;8.11;2677;2394289;894.39;158;929225;5881.17;697;330752;474.54;1822;1134312;622.56;1490;122;9
1590735;238242;212055;317057;82121;0.26;1084;16491;1069;1777;13645;15.21;8817;8817;8817;8.13;2658;2393912;900.64;158;929225;5881.17;696;330567;474.95;1804;1134120;628.67;1490;122;9
1591035;238363;212037;317075;82135;0.26;1084;16469;1070;1770;13629;15.19;8847;8847;8847;8.16;2635;2393206;908.24;163;939175;5761.81;684;320318;468.3;1788;1133713;634.07;1490;122;7
1591335;238456;212019;317093;82140;0.26;1085;16470;1071;1766;13633;15.18;8861;8861;8861;8.17;2635;2379151;902.9;156;926441;5938.72;686;319110;465.17;1793;1133600;632.24;1600;121;7
1591635;238504;211993;317119;82161;0.26;1085;16421;1072;1754;13595;15.13;8908;8908;8908;8.21;2598;2387551;919;156;929241;5956.67;693;325186;469.24;1749;1133124;647.87;1600;122;7
1591935;238523;211974;317137;82171;0.26;1085;16409;1073;1752;13584;15.12;8926;8926;8926;8.23;2602;2385806;916.91;157;931018;5930.05;683;320820;469.72;1762;1133968;643.57;1600;125;8
1592235;238582;211966;317143;82175;0.26;1085;16399;1073;1749;13577;15.11;8934;8934;8934;8.23;2630;2377820;904.11;153;923270;6034.44;680;320174;470.84;1797;1134376;631.26;1700;125;8
1592535;238687;211951;317158;82181;0.26;1086;16393;1073;1741;13579;15.09;8952;8952;8952;8.24;2601;2371472;911.75;152;920770;6057.7;668;317079;474.67;1781;1133623;636.51;1700;125;8
1592835;238694;211909;317200;82194;0.26;1086;16389;1075;1728;13586;15.09;8958;8958;8958;8.25;2590;2372391;915.98;152;924070;6079.41;659;314758;477.63;1779;1133563;637.19;1700;125;8
1593135;238723;211883;317226;82203;0.26;1086;16387;1076;1724;13587;15.09;8975;8975;8975;8.26;2582;2368661;917.37;151;922071;6106.43;651;312991;480.78;1780;1133599;636.85;1700;125;8
1593435;238738;211850;317259;82221;0.26;1086;16361;1077;1724;13560;15.07;8989;8989;8989;8.28;2569;2368147;921.82;152;923421;6075.14;649;311109;479.37;1768;1133617;641.19;1350;125;7
1593735;238742;211830;317278;82226;0.26;1087;16361;1077;1722;13562;15.05;8992;8992;8992;8.27;2562;2367477;924.07;152;923421;6075.14;646;310464;480.59;1764;1133592;642.63;1350;124;7
1594035;238756;211772;317334;82237;0.26;1089;16385;1077;1720;13588;15.05;9005;9005;9005;8.27;2549;2385882;936.01;155;939621;6062.07;648;312898;482.87;1746;1133363;649.12;1350;124;8
1594335;238757;211769;317337;82241;0.26;1089;16375;1077;1721;13577;15.04;9006;9006;9006;8.27;2534;2386108;941.64;155;939621;6062.07;648;313311;483.5;1731;1133176;654.64;1350;124;8
1594635;238827;211727;317379;82247;0.26;1089;16397;1078;1721;13598;15.06;9015;9015;9015;8.28;2532;2411714;952.49;157;963390;6136.24;647;313926;485.2;1728;1134398;656.48;1350;128;8
1594935;238855;211721;317385;82250;0.26;1089;16395;1078;1719;13598;15.06;9016;9016;9016;8.28;2532;2409313;951.55;156;960590;6157.63;647;313876;485.13;1729;1134847;656.36;1350;128;8
1595235;238855;211655;317451;82263;0.26;1090;16416;1078;1722;13616;15.06;9016;9016;9016;8.27;2535;2414212;952.35;156;960590;6157.63;650;318775;490.42;1729;1134847;656.36;1350;140;8
1595535;238855;211643;317463;82265;0.26;1090;16420;1078;1722;13620;15.06;9016;9016;9016;8.27;2542;2414702;949.92;156;960590;6157.63;650;318775;490.42;1736;1135337;654;1350;140;8
1595835;238874;211607;317499;82275;0.26;1090;16416;1078;1724;13614;15.06;9022;9022;9022;8.28;2537;2413205;951.2;155;959240;6188.65;650;318707;490.32;1732;1135258;655.46;1700;140;9
1596135;238877;211539;317567;82297;0.26;1090;16398;1078;1714;13606;15.04;9025;9025;9025;8.28;2536;2412601;951.34;155;959240;6188.65;647;318047;491.57;1734;1135314;654.74;1700;140;9
1596435;238925;211521;317585;82309;0.26;1090;16370;1079;1705;13586;15.02;9073;9073;9073;8.32;2510;2411004;960.56;155;959240;6188.65;639;315245;493.34;1716;1136519;662.31;1700;140;10
1596735;238943;211516;317590;82317;0.26;1090;16343;1079;1709;13555;14.99;9091;9091;9091;8.34;2503;2410993;963.24;155;959240;6188.65;639;315245;493.34;1709;1136508;665.01;1700;140;10
1597035;238943;211480;317626;82319;0.26;1090;16377;1079;1709;13589;15.02;9091;9091;9091;8.34;2496;2409774;965.45;155;959240;6188.65;631;314035;497.68;1710;1136499;664.62;1700;140;10
1597335;238943;211474;317632;82319;0.26;1090;16383;1079;1709;13595;15.03;9091;9091;9091;8.34;2532;2409845;951.76;155;959240;6188.65;631;314035;497.68;1746;1136570;650.96;1700;140;9
1597635;238943;211474;317632;82327;0.26;1090;16351;1079;1711;13561;15;9091;9091;9091;8.34;2532;2409895;951.78;155;959240;6188.65;631;314085;497.76;1746;1136570;650.96;1700;140;9
1597935;238946;211474;317632;82328;0.26;1090;16347;1079;1711;13557;15;9092;9092;9092;8.34;2565;2416305;942.03;155;959240;6188.65;641;319345;498.2;1769;1137720;643.14;1700;140;9
1598235;238948;211473;317632;82338;0.26;1090;16318;1079;1712;13527;14.97;9094;9094;9094;8.34;2566;2416202;941.62;155;959240;6188.65;642;319295;497.34;1769;1137667;643.11;1700;140;9
1598535;238957;211369;317734;82373;0.26;1090;16323;1080;1710;13533;14.98;9103;9103;9103;8.35;2580;2416268;936.54;155;959240;6188.65;641;319130;497.86;1784;1137898;637.84;1700;140;4
1598835;239009;211302;317800;82398;0.26;1090;16291;1080;1684;13527;14.95;9155;9155;9155;8.4;2528;2415806;955.62;155;959240;6188.65;641;319120;497.85;1732;1137446;656.72;1700;140;9
1599135;239102;211216;317886;82444;0.26;1090;16213;1082;1680;13451;14.87;9184;9184;9184;8.43;2506;2417710;964.77;155;960740;6198.32;642;320262;498.85;1709;1136708;665.13;1700;140;9
1599435;239132;211205;317896;82462;0.26;1090;16162;1083;1674;13405;14.83;9207;9207;9207;8.45;2504;2418568;965.88;155;960740;6198.32;648;322106;497.08;1701;1135722;667.68;1700;140;9
1599735;239139;211163;317938;82473;0.26;1090;16163;1084;1665;13414;14.83;9211;9211;9211;8.45;2500;2407112;962.84;154;951930;6181.36;639;319795;500.46;1707;1135387;665.14;1700;139;9
1600035;239373;211007;318094;82539;0.26;1090;16089;1085;1663;13341;14.76;9251;9251;9251;8.49;2476;2402742;970.41;148;941703;6362.86;635;324547;511.1;1693;1136492;671.29;1900;139;8
1600335;239407;211007;318094;82566;0.26;1090;16018;1086;1661;13271;14.7;9283;9283;9283;8.52;2454;2412382;983.04;150;953403;6356.02;629;322590;512.86;1675;1136389;678.44;1900;138;10
1600635;239429;211007;318094;82588;0.26;1090;15945;1087;1664;13194;14.63;9305;9305;9305;8.54;2451;2421517;987.97;150;960137;6400.91;634;323846;510.8;1667;1137534;682.38;1900;128;10
1600935;239435;211007;318094;82595;0.26;1090;15922;1087;1668;13167;14.61;9311;9311;9311;8.54;2440;2425424;994.03;150;960137;6400.91;637;327883;514.73;1653;1137404;688.08;1900;128;10
1601235;239441;211007;318094;82596;0.26;1090;15918;1087;1669;13162;14.6;9317;9317;9317;8.55;2474;2431820;982.95;151;965137;6391.64;638;328061;514.2;1685;1138622;675.74;1900;128;10
1601535;239441;211007;318094;82597;0.26;1090;15914;1087;1669;13158;14.6;9317;9317;9317;8.55;2478;2432234;981.53;151;965137;6391.64;638;328061;514.2;1689;1139036;674.38;1900;128;10
1601835;239442;211007;318094;82598;0.26;1090;15913;1087;1669;13157;14.6;9318;9318;9318;8.55;2479;2437154;983.12;151;965137;6391.64;639;333610;522.08;1689;1138407;674.01;1900;138;10
1602135;239444;211007;318094;82600;0.26;1090;15905;1087;1670;13148;14.59;9320;9320;9320;8.55;2488;2428724;976.18;151;960637;6361.83;640;331988;518.73;1697;1136099;669.47;1750;128;10
1602435;239453;211007;318094;82601;0.26;1090;15901;1087;1671;13143;14.59;9329;9329;9329;8.56;2477;2428937;980.6;151;960637;6361.83;640;331988;518.73;1686;1136312;673.97;1750;128;10
1602735;239453;211007;318094;82602;0.26;1090;15898;1087;1672;13139;14.59;9329;9329;9329;8.56;2478;2429035;980.24;151;960637;6361.83;640;331988;518.73;1687;1136410;673.63;1750;128;10
1603035;239453;211007;318094;82602;0.26;1090;15898;1087;1672;13139;14.59;9329;9329;9329;8.56;2477;2428671;980.49;150;957938;6386.25;640;331988;518.73;1687;1138745;675.01;1750;128;10
1603335;239454;211007;318094;82603;0.26;1090;15894;1087;1672;13135;14.58;9330;9330;9330;8.56;2476;2428658;980.88;150;957938;6386.25;640;331988;518.73;1686;1138732;675.4;1750;128;10
1603635;239454;211007;318094;82603;0.26;1090;15894;1087;1672;13135;14.58;9330;9330;9330;8.56;2478;2428658;980.09;150;957938;6386.25;640;331968;518.7;1688;1138752;674.62;1750;128;10
1603935;239454;211007;318094;82603;0.26;1090;15894;1087;1672;13135;14.58;9330;9330;9330;8.56;2516;2431102;966.26;150;957938;6386.25;642;333212;519.02;1724;1139952;661.23;1750;128;9
1604235;239454;211007;318094;82603;0.26;1090;15894;1087;1672;13135;14.58;9330;9330;9330;8.56;2516;2431102;966.26;150;957938;6386.25;642;333212;519.02;1724;1139952;661.23;1750;128;9
1604535;239454;211007;318094;82603;0.26;1090;15894;1087;1672;13135;14.58;9330;9330;9330;8.56;2516;2431042;966.23;150;957938;6386.25;642;333152;518.93;1724;1139952;661.23;1750;128;9
1604835;239454;211007;318094;82603;0.26;1090;15894;1087;1672;13135;14.58;9330;9330;9330;8.56;2516;2431017;966.22;150;957938;6386.25;642;333152;518.93;1724;1139927;661.21;1750;128;9
1605135;239465;211007;318094;82604;0.26;1090;15893;1087;1672;13134;14.58;9341;9341;9341;8.57;2509;2443198;973.77;154;970747;6303.55;642;332652;518.15;1713;1139799;665.38;1750;128;9
1605435;239468;211007;318094;82606;0.26;1090;15891;1087;1673;13131;14.58;9344;9344;9344;8.57;2530;2442979;965.6;154;970289;6300.58;643;332714;517.44;1733;1139976;657.8;1750;128;9
1605735;239471;211007;318094;82609;0.26;1090;15882;1087;1673;13122;14.57;9347;9347;9347;8.58;2527;2439985;965.57;154;970289;6300.58;643;329759;512.84;1730;1139937;658.92;1750;128;9
1606035;239471;211007;318094;82611;0.26;1090;15874;1087;1674;13113;14.56;9347;9347;9347;8.58;2529;2437658;963.88;154;968089;6286.29;645;330259;512.03;1730;1139310;658.56;1750;128;9
1606335;239471;211007;318094;82612;0.26;1090;15870;1087;1674;13109;14.56;9347;9347;9347;8.58;2529;2437623;963.87;154;968089;6286.29;645;330259;512.03;1730;1139275;658.54;1750;128;0
1606635;239472;211007;318094;82612;0.26;1090;15870;1087;1674;13109;14.56;9348;9348;9348;8.58;2528;2437635;964.25;154;968089;6286.29;645;330287;512.07;1729;1139259;658.91;1750;127;0
1606935;239476;211007;318094;82612;0.26;1090;15870;1087;1674;13109;14.56;9352;9352;9352;8.58;2523;2437862;966.26;154;968989;6292.14;644;329687;511.94;1725;1139186;660.4;1750;127;0
1607235;239492;211007;318094;82614;0.26;1090;15862;1087;1675;13100;14.55;9358;9358;9358;8.59;2519;2442376;969.58;154;973989;6324.6;644;329277;511.3;1721;1139110;661.89;1750;127;0
1607535;239518;211007;318094;82621;0.26;1090;15835;1088;1676;13071;14.53;9384;9384;9384;8.61;2491;2443750;981.03;155;975936;6296.36;643;329127;511.86;1693;1138687;672.59;1750;127;0
